Species	Num_assemblies	Kingdom	Phylum	Class	Order	Family	Genus
Phocaeicola plebeius	10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
Aeromonas jandaei	10	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Pantoea allii	10	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
Candidatus Dormibacteraeota bacterium	10	Bacteria	Candidatus Dormibacteraeota	NA	NA	NA	NA
Acidobacteriales bacterium	10	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	NA	NA
Xanthomonas axonopodis	10	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
uncultured Ureaplasma sp.	10	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma
Phocaeicola coprocola	10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
Methanobacterium sp.	10	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
Virgibacillus pantothenticus	10	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus
Candidatus Planktophila sp.	10	Bacteria	Actinobacteria	Actinomycetia	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	Candidatus Planktophila
Bacteroidetes Order II. Incertae sedis bacterium	10	Bacteria	Bacteroidetes	NA	Bacteroidetes Order II. Incertae sedis	NA	NA
Candidatus Scalindua sp.	10	Bacteria	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Scalindua
Maribacter sp.	10	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter
Altererythrobacter sp.	10	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
Tenacibaculum dicentrarchi	10	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
Enterobacter mori	10	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Thermotogales bacterium	10	Bacteria	Thermotogae	Thermotogae	Thermotogales	NA	NA
Neisseria mucosa	10	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Phascolarctobacterium succinatutens	10	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Paraprevotella sp.	10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Lactococcus petauri	10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Dethiobacter sp.	10	Bacteria	Firmicutes	Clostridia	Eubacteriales	Syntrophomonadaceae	Dethiobacter
uncultured Candidatus Nitrosopumilus sp.	10	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
Abditibacteriota bacterium	10	Bacteria	Abditibacteriota	NA	NA	NA	NA
Turicibacter sp.	10	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter
Geobacteraceae bacterium	10	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	NA
Brevundimonas diminuta	10	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
uncultured Succinivibrio sp.	10	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
Mammaliicoccus vitulinus	10	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus
Thermoanaerobacterales bacterium	10	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	NA	NA
Candidatus Coatesbacteria bacterium	10	Bacteria	Candidatus Coatesbacteria	NA	NA	NA	NA
Cellulosimicrobium cellulans	10	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Promicromonosporaceae	Cellulosimicrobium
Brevibacillus laterosporus	10	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus
uncultured Succinatimonas sp.	10	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas
uncultured Holdemanella sp.	10	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
uncultured Butyricimonas sp.	10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas
Kiritimatiellales bacterium	10	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	NA	NA
Luminiphilus sp.	10	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Luminiphilus
Citrobacter sp. FDAARGOS_156	10	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Aerococcus sanguinicola	10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
Cronobacter turicensis	10	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter
Ornithodoros moubata	10	Eukaryota	Arthropoda	Arachnida	Ixodida	Argasidae	Ornithodoros
Thermotogae bacterium	10	Bacteria	Thermotogae	NA	NA	NA	NA
Nocardia nova	10	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Nocardia
Trueperella pyogenes	10	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Trueperella
Bacteroides acidifaciens	10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Pseudomonas lurida	10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Microcystis flos-aquae	10	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis
Acetobacter tropicalis	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
uncultured Fibrobacteres bacterium	10	Bacteria	Fibrobacteres	NA	NA	NA	NA
sludge metagenome	10	NA	NA	NA	NA	NA	NA
Burkholderia glumae	10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
oil field metagenome	10	NA	NA	NA	NA	NA	NA
Cylindrospermopsis raciborskii	10	Bacteria	Cyanobacteria	NA	Nostocales	Aphanizomenonaceae	Cylindrospermopsis
Haematospirillum jordaniae	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Haematospirillum
Janthinobacterium lividum	10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Plasmodium falciparum	10	Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium
Zymomonas mobilis	10	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Zymomonadaceae	Zymomonas
Natronohydrobacter sp.	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Natronohydrobacter
Mycoplasma mycoides	10	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
uncultured Lachnobacterium sp.	10	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnobacterium
Balneola sp.	10	Bacteria	Balneolaeota	Balneolia	Balneolales	Balneolaceae	Balneola
Aphanomyces astaci	10	Eukaryota	Oomycota	NA	Saprolegniales	Saprolegniaceae	Aphanomyces
Saccharomyces pastorianus	10	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
Erythrobacter donghaensis	10	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
Mycoplasma gallisepticum	10	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
