Species	Num_assemblies	Kingdom	Phylum	Class	Order	Family	Genus
Dothistroma septosporum	18	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Dothistroma
Tropheryma whipplei	18	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Tropherymataceae	Tropheryma
Sandaracinaceae bacterium	17	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA
Anaerostipes caccae	17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes
Coprococcus eutactus	17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus
Bacillus stratosphericus	17	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Enterocloster clostridioformis	17	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster
Myxococcaceae bacterium	17	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	NA
uncultured Opitutales bacterium	17	Bacteria	Verrucomicrobia	Opitutae	Opitutales	NA	NA
uncultured Ignavibacteriales bacterium	17	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	NA	NA
uncultured Atopobium sp.	17	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
Streptococcus infantis	17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Sphingopyxis sp.	17	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
Parabacteroides sp.	17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Methanomassiliicoccales archaeon	17	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	NA	NA
Mesorhizobium sp.	17	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
Hydrogenophaga sp.	17	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Pseudomonas carnis	17	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Toxoplasma gondii	17	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma
Plesiomonas shigelloides	17	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	Plesiomonas
Hafnia alvei	17	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia
Leuconostoc citreum	17	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
Corynebacterium aurimucosum	17	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Eudoraea sp.	17	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Eudoraea
Methanothrix sp.	17	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanotrichaceae	Methanothrix
Bradyrhizobium liaoningense	17	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
uncultured Pseudomonadales bacterium	17	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	NA	NA
Salinivirgaceae bacterium	17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Salinivirgaceae	NA
Thermococcus sp.	17	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Candidatus Zambryskibacteria bacterium	17	Bacteria	Candidatus Zambryskibacteria	NA	NA	NA	NA
Crenarchaeota archaeon	17	Archaea	Crenarchaeota	NA	NA	NA	NA
uncultured Veillonellaceae bacterium	17	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	NA
Idiomarina sp.	17	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina
Ignisphaera aggregans	17	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera
